"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_PLEITO";"SG_UF";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"NR_SECAO";"NR_URNA_ESPERADA";"CD_CARGA_URNA_ESPERADA";"CD_FLASHCARD_URNA_ESPERADA";"DT_CARGA_URNA_ESPERADA";"ST_CORRESP_ALTERADA";"NR_LOCAL_VOTACAO";"NM_MAQUINA_GERACAO_MIDIA";"NR_SRI_TPM_GERACAO_MIDIA";"NR_SRI_INSTAL_GERACAO_MIDIA";"NM_MAQUINA_TRANSM_CORRESP";"NR_SRI_TPM_TRANSM_CORRESP";"NR_SRI_INSTAL_TRANSM_CORRESP"
"06/10/2024";"14:06:53";2024;452;"AL";"28533";"RIO LARGO";15;30;2067943;837245046496467240135631;"5C68E460";"2024-09-27 13:09:00";"N";1384;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27855";"MACEIÓ";54;445;2430659;822361013928239197956518;"05DE5418";"2024-09-29 09:44:00";"N";1481;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27456";"CORURIPE";7;63;2462787;133590884393050709058048;"98E48533";"2024-09-23 09:36:00";"N";1147;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27456";"CORURIPE";7;97;2447955;810358219761748005509576;"98E48533";"2024-09-23 11:16:00";"N";1074;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"28657";"SÃO JOSÉ DA LAJE";16;46;2432950;581231527308452485983780;"078BC309";"2024-09-26 09:14:00";"N";1112;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"28592";"SANTANA DO IPANEMA";19;214;1770247;762282453242322920733062;"910E398E";"2024-09-20 10:51:00";"N";1090;"RALWGERA19";"C1836E163E18A5743392";"1332114E";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27650";"INHAPI";39;93;1652620;745694706272694410650758;"6FCEEA5C";"2024-09-21 11:45:00";"N";1104;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27855";"MACEIÓ";33;292;2445129;842538872947651422824456;"B1130171";"2024-09-30 08:47:00";"N";1325;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"28592";"SANTANA DO IPANEMA";19;189;1760234;337939974099101530688178;"910E398E";"2024-09-20 09:29:00";"N";1090;"RALWGERA19";"C1836E163E18A5743392";"1332114E";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27952";"MARIBONDO";48;151;2038320;416257960786155314299885;"EA9AB1CA";"2024-09-25 08:15:00";"N";1015;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
